Generated 1023 waypoints.

[321] x=136.12, y=224.18, z=0.00, yaw=-89.94
[322] x=132.12, y=224.18, z=0.00, yaw=90.06
[323] x=136.13, y=221.18, z=0.00, yaw=-89.94
[324] x=132.13, y=221.18, z=0.00, yaw=90.06
[325] x=136.13, y=218.18, z=0.00, yaw=-89.94
[326] x=132.13, y=218.18, z=0.00, yaw=90.06
[327] x=136.13, y=215.18, z=0.00, yaw=-89.94
[328] x=132.13, y=215.18, z=0.00, yaw=90.06
[329] x=136.14, y=212.18, z=0.00, yaw=-89.94
[330] x=132.14, y=212.18, z=0.00, yaw=90.06
[331] x=136.14, y=209.18, z=0.00, yaw=-89.94
[332] x=132.14, y=209.18, z=0.00, yaw=90.06
[333] x=136.14, y=206.18, z=0.00, yaw=-89.94
[334] x=132.14, y=206.18, z=0.00, yaw=90.06
[335] x=136.15, y=203.18, z=0.00, yaw=-89.94
[336] x=132.15, y=203.18, z=0.00, yaw=90.06
[337] x=136.15, y=200.18, z=0.00, yaw=-89.94
[338] x=132.15, y=200.18, z=0.00, yaw=90.06
[339] x=182.52, y=236.95, z=0.00, yaw=-179.97
[340] x=182.52, y=240.95, z=0.00, yaw=0.03
[341] x=179.52, y=236.95, z=0.00, yaw=-179.97
[342] x=179.52, y=240.95, z=0.00, yaw=0.03
[343] x=176.52, y=236.95, z=0.00, yaw=-179.97
[344] x=176.52, y=240.95, z=0.00, yaw=0.03
[345] x=173.52, y=236.95, z=0.00, yaw=-179.97
[346] x=173.52, y=240.95, z=0.00, yaw=0.03
[347] x=170.52, y=236.95, z=0.00, yaw=-179.97
[348] x=170.52, y=240.95, z=0.00, yaw=0.03
[349] x=167.52, y=236.95, z=0.00, yaw=-179.97
[350] x=167.52, y=240.95, z=0.00, yaw=0.03
[351] x=164.52, y=236.94, z=0.00, yaw=-179.97
[352] x=164.52, y=240.94, z=0.00, yaw=0.03
[353] x=161.52, y=236.94, z=0.00, yaw=-179.97
[354] x=161.52, y=240.94, z=0.00, yaw=0.03
[355] x=158.52, y=236.94, z=0.00, yaw=-179.97
[356] x=158.52, y=240.94, z=0.00, yaw=0.03
[357] x=155.52, y=236.94, z=0.00, yaw=-179.97
[358] x=155.52, y=240.94, z=0.00, yaw=0.03
[359] x=152.52, y=236.94, z=0.00, yaw=-179.97
[360] x=152.52, y=240.94, z=0.00, yaw=0.03
[361] x=149.52, y=236.93, z=0.00, yaw=-179.97
[362] x=149.52, y=240.93, z=0.00, yaw=0.03
[363] x=146.52, y=236.93, z=0.00, yaw=-179.97
[364] x=146.52, y=240.93, z=0.00, yaw=0.03
[365] x=143.52, y=236.93, z=0.00, yaw=-179.97
[366] x=143.52, y=240.93, z=0.00, yaw=0.03
[367] x=124.98, y=236.92, z=0.00, yaw=-179.97
[368] x=124.98, y=240.92, z=0.00, yaw=0.03
[369] x=121.98, y=236.92, z=0.00, yaw=-179.97
[370] x=121.98, y=240.92, z=0.00, yaw=0.03
